symbol_type,symbol_name,phrase_order,phrase,source_card,linked_element
Zodiac Sign,Cancer,1,emotional sensitivity,The Chariot,
Zodiac Sign,Cancer,2,nurturing,The Chariot,
Zodiac Sign,Cancer,3,initiator in matters of intuition,The Chariot,
Zodiac Sign,Cancer,4,initiator in matters of relationship,The Chariot,
Zodiac Sign,Leo,1,courage,Strength,
Zodiac Sign,Leo,2,personal radiance,Strength,
Zodiac Sign,Leo,3,strength that comes from the heart,Strength,
Zodiac Sign,Leo,4,connects rather than dominates,Strength,
Zodiac Sign,Virgo,1,attentive discernment,The Hermit,
Zodiac Sign,Virgo,2,productive solitude,The Hermit,
Zodiac Sign,Virgo,3,focus on detail,The Hermit,
Zodiac Sign,Virgo,4,reveals the bigger picture,The Hermit,
Zodiac Sign,Libra,1,balance,Justice,
Zodiac Sign,Libra,2,harmony,Justice,
Zodiac Sign,Libra,3,"aesthetic, fair-minded sense of justice",Justice,
Zodiac Sign,Libra,4,rooted in relationship,Justice,
Zodiac Sign,Scorpio,1,intensity,Death,
Zodiac Sign,Scorpio,2,transformation,Death,
Zodiac Sign,Scorpio,3,comfort with what lies beneath the surface,Death,
Zodiac Sign,Scorpio,4,shedding what no longer has life,Death,
Zodiac Sign,Sagittarius,1,exploration,Temperance,
Zodiac Sign,Sagittarius,2,optimism,Temperance,
Zodiac Sign,Sagittarius,3,valuing the journey over the destination,Temperance,
Zodiac Sign,Sagittarius,4,search for broader understanding,Temperance,
Zodiac Sign,Capricorn,1,discipline,The Devil,
Zodiac Sign,Capricorn,2,responsibility,The Devil,
Zodiac Sign,Capricorn,3,"practical, earthy ambition",The Devil,
Zodiac Sign,Capricorn,4,built through hard work and clear limits,The Devil,
Zodiac Sign,Aquarius,1,nonconformity,The Star,
Zodiac Sign,Aquarius,2,vision,The Star,
Zodiac Sign,Aquarius,3,"idealistic, community-minded energy",The Star,
Zodiac Sign,Aquarius,4,moves to its own rhythm,The Star,
Zodiac Sign,Pisces,1,dreams,The Moon,
Zodiac Sign,Pisces,2,empathy,The Moon,
Zodiac Sign,Pisces,3,"receptive, spiritual depth",The Moon,
Zodiac Sign,Pisces,4,dissolves the boundary between self and other,The Moon,
Element,Fire,1,passion,,
Element,Fire,2,will,,
Element,Fire,3,active energy,,
Element,Fire,4,vitality,,
Element,Water,1,emotion,,
Element,Water,2,dreams,,
Element,Water,3,desire,,
Element,Water,4,intuition,,
Element,Air,1,thought,,
Element,Air,2,communication,,
Element,Air,3,words,,
Element,Air,4,speed,,
Element,Air,5,messages,,
Element,Earth,1,growth,,
Element,Earth,2,material goods,,
Element,Earth,3,nourishment,,
Element,Earth,4,being rooted in the present,,
Modality,Cardinal,1,initiating energy,,
Modality,Cardinal,2,fresh drive,,
Modality,Cardinal,3,leadership,,
Modality,Cardinal,4,starting something new,,
Modality,Fixed,1,persistence,,
Modality,Fixed,2,stability,,
Modality,Fixed,3,"tenacious, dedicated energy",,
Modality,Fixed,4,holds steady through the middle of a cycle,,
Modality,Mutable,1,adaptability,,
Modality,Mutable,2,"variable, flexible energy",,
Modality,Mutable,3,transition at the end of a cycle,,
Suit,Wands,1,"renewing, vital energy",Ace of Wands / King of Wands / Page of Wands,Fire
Suit,Wands,2,bold new adventure,Ace of Wands / King of Wands / Page of Wands,Fire
Suit,Wands,3,daring to say yes,Ace of Wands / King of Wands / Page of Wands,Fire
Suit,Wands,4,creation and transformation,Ace of Wands / King of Wands / Page of Wands,Fire
Suit,Wands,5,"exploratory, lively spirit",Ace of Wands / King of Wands / Page of Wands,Fire
Suit,Cups,1,universal love,Ace of Cups,Water
Suit,Cups,2,relationships,Ace of Cups,Water
Suit,Cups,3,spirituality,Ace of Cups,Water
Suit,Cups,4,"containing and letting emotion flow, rather than letting it stagnate",Ace of Cups,Water
Suit,Swords,1,sudden clarity and illumination,Ace of Swords,Air
Suit,Swords,2,"discernment, separating the essential from the superfluous",Ace of Swords,Air
Suit,Swords,3,separating truth from deceit,Ace of Swords,Air
Suit,Pentacles,1,stability,Ace of Pentacles,Earth
Suit,Pentacles,2,defining and materializing ideas into form,Ace of Pentacles,Earth
Suit,Pentacles,3,self-care,Ace of Pentacles,Earth
Suit,Pentacles,4,protecting one's boundaries,Ace of Pentacles,Earth
Suit,Pentacles,5,"breaking through, like a seed under soil",Ace of Pentacles,Earth
