card_key,astrological_label,description_text,description_condensed,condensed_word_count,reversed_reading_notes,description_anonymized
major_10_wheel_of_fortune,JUPITER,"Card number ten marks a turning point in the journey from the Fool to the World. The Wheel of Fortune is the card of destiny, or the personal choices that help form it. The Wheel of Fortune marks the alternating phases of life. Fortune and misfortune are just transitions, moments to overcome and to learn something from. It is the card of change, highlighting the highs and lows of life, the end of one cycle and the start of another, something that switches, just like the Major Arcana, which from this point on assumes more spiritual meanings. Jupiter is the planet of expansion and success. It is generous and abundant, and it brings prosperity. Jupiter is the guide that leads us through life. In Hindi, the word for Jupiter means guru, or guide. Like in everything, the abundance of Jupiter can also be too much. It is important to remain balanced, as if we were standing atop the Wheel of Fortune.","The Wheel marks a turning point in the journey, the moment personal choice starts shaping destiny. Fortune and misfortune are simply transitions, each one closing a cycle and opening another. From here, the Major Arcana takes on a more spiritual tone. Jupiter, its ruling planet, brings expansion, generosity, and guidance, its very name meaning 'guru' in Hindi. Even abundance needs balance, like standing steady atop a turning wheel.",68,"Resisting the natural turn of events, or feeling stuck in a cycle that won't shift.","This card marks a turning point in the journey, the moment personal choice starts shaping destiny. Fortune and misfortune are simply transitions, each one closing a cycle and opening another. A planet of expansion, generosity, and guidance brings its energy here, its very name meaning 'guru' in Hindi. Even abundance needs balance, like standing steady atop a turning wheel."
major_11_justice,LIBRA,"When we encounter the card of Justice, just after the turning point of the Wheel of Fortune, we encounter our true responsibility. Justice looks us straight in the eyes. It is a mirror, reflecting a real and honest vision. It is our sense of justice that moves us and moves the actions that come from the heart: that which we do because we can't do otherwise, because we feel that's how it must be. The rules that govern how Justice acts in the world are not listed in books. They are rules dictated by our nature, our sense of care and responsibility toward the world around us. Here, Libra, who is governed by Venus as the Empress, shows the power of the planet in the aesthetic and harmonious gaze it searches for in the world. Beauty, harmony, and equanimity are characteristics of Libra that fully echo in the card of Justice.","After the Wheel's turning point comes real responsibility. Justice holds up a mirror, an honest, unflinching reflection of what's true. Its rules aren't written in books, they come from an inner sense of care toward the world. Libra, ruled by Venus just like the Empress, brings its aesthetic, harmony-seeking gaze to this card, so beauty and equanimity become inseparable from what's fair.",62,"Avoiding responsibility, dishonesty with yourself, or an imbalance left unaddressed.","After a prior turning point comes real responsibility. This card holds up a mirror, an honest, unflinching reflection of what's true. Its rules aren't written in books, they come from an inner sense of care toward the world. A sign ruled by a planet of beauty and harmony brings its aesthetic, harmony-seeking gaze here, so equanimity becomes inseparable from what's fair."
major_12_hanged_man,NEPTUNE,"When the Golden Dawn assigned the Major Arcana zodiac signs, the planet Neptune had not yet been discovered. Card number twelve, the Hanged Man, corresponded to the Water element. Water is flowing, hanging, embracing, all which the Hanged Man does, upside down, as he waits and experiences a new perspective. The key to reading the Hanged Man card lies in his expression. It's true, he hangs upside down from a tree branch; but his expression is calm and serene. He is not suffering. He is experiencing a moment of pause and abandon that leads him to greater awareness. It's as if he is meditating. He is often depicted with one leg crossed over the other, like a yoga position. Neptune, the planet of dreams, depth, sacrifice, and its fluid and unstoppable element of Water, best represents the soul of this card.","Before Neptune's discovery, this card belonged simply to Water: flowing, hanging, embracing, just like the Hanged Man himself. Suspended upside down, his calm expression gives away the truth, he isn't suffering, he's meditating, gaining a new perspective through stillness. Crossed legs echo a yoga pose. Neptune, planet of dreams, depth, and sacrifice, and Water's unstoppable flow, capture the soul of this quiet surrender.",63,"Resisting a needed pause, or stalling without the surrender that makes it meaningful.","Before a certain outer planet's discovery, this card belonged simply to Water: flowing, hanging, embracing. Suspended upside down, this character's calm expression gives away the truth: they aren't suffering, they're meditating, gaining a new perspective through stillness. Crossed legs echo a yoga pose. A planet of dreams, depth, and sacrifice, and Water's unstoppable flow, capture the soul of this quiet surrender."
major_13_death,SCORPIO,"Scorpio is the sign of November, the month in which transformation and decay bring new life, like the leaves that fall from the trees and become fertilizer for roots. Scorpio is a sign that lies between life and death, of the underground world and the sensuality that leads to life. Scorpio is magnetic, magical, intense, and profound. It knows what lies under the surface and that, to achieve the essential, we must abandon everything that is superfluous, that has no more lifeblood. Death, card number thirteen, has a similar message: it does not seal shut the end of something, but rather is an organic and vital process through which we abandon all that is not viable to make room for new blood, new life.","Scorpio belongs to November, when decay feeds new growth just as falling leaves fertilize the roots beneath them. Sitting between life and death, Scorpio is magnetic and intense, aware that reaching what's essential means releasing what no longer has life in it. Death carries the same message: not an ending sealed shut, but an organic process that clears space for fresh blood and new beginnings.",65,"Clinging to what's already over, or fear blocking a transformation that needs to happen.","A fixed water sign belongs to a month when decay feeds new growth, just as falling leaves fertilize the roots beneath them. Sitting between life and death, this energy is magnetic and intense, aware that reaching what's essential means releasing what no longer has life in it. This card carries that same message: not an ending sealed shut, but an organic process that clears space for fresh blood and new beginnings."
major_14_temperance,SAGITTARIUS,"The motto of Sagittarius could be that it's not the destination that matters, but the journey. The sign of Sagittarius and its energy are characterized by the need to know and explore. It is a curious and mutable sign like its element, Fire, often divided into instinct and the desire to conform to a common feeling. In the card of Temperance, we find the principle of alchemy: mixing different ingredients to obtain something more than the simple sum of its parts. Through experience and study, it is possible to reach a new level of depth and understanding. Sagittarius, like Temperance, ""tempers"" its experiences, which can be very diverse, in order to discover and know, to broaden its world and vision.","Sagittarius lives by the idea that the journey matters more than the destination, curious and mutable like its element, Fire, torn between instinct and a wish to belong. Temperance embodies alchemy itself, blending different ingredients into something greater than their sum. Through experience and study, both Sagittarius and Temperance temper diverse experiences into deeper understanding, broadening their view of the world along the way.",64,"Impatience with the process, or an imbalance where opposites clash instead of blend.","A mutable fire sign lives by the idea that the journey matters more than the destination, curious and torn between instinct and a wish to belong. This card embodies alchemy itself, blending different ingredients into something greater than their sum. Through experience and study, both energies described here temper diverse experiences into deeper understanding, broadening their view of the world along the way."
major_15_devil,CAPRICORN,"The card of the Devil is perhaps the most misunderstood card in the deck. And yet, like all the other cards, it's not completely negative or positive. The Devil depicted in the deck recalls Pan, the god of the woods, forests and wild spirits. In his goat form, like Capricorn—half goat, half fish—he represents the earthly, chthonic, and visceral world that moves our primordial instinct. The sign Capricorn is a cardinal sign of Earth. This means that it is a practical sign oriented to organization and control, specifically in the material aspect of life. Governed by Saturn, Capricorn knows limits and responsibility, the hard work it takes to reach your objectives. The Devil also speaks of responsibility. In fact, the chains around the neck of the people next to him are loose, not tight, and can easily be removed. The responsibility of our freedom, our free choices, is in our hands.","Neither wholly good nor evil, the Devil recalls Pan, half-goat like Capricorn, embodying earthy, instinctual force. Capricorn, a cardinal Earth sign, is practical and control-oriented, especially about material life. Ruled by Saturn, it understands limits and the hard work required to reach a goal. The Devil speaks to that same responsibility: the chains shown are loose, not locked, since our freedom is always a choice we're free to make.",69,"Either waking up to a chain you hadn't noticed, or sinking deeper into it.","Neither wholly good nor evil, this card recalls a mythic half-goat figure, embodying earthy, instinctual force. A cardinal Earth sign is practical and control-oriented, especially about material life. Ruled by a planet of limits, it understands the hard work required to reach a goal. This card speaks to that same responsibility: the chains shown are loose, not locked, since our freedom is always a choice we're free to make."
major_16_tower,MARS,"Mars is pure energy; known as the god of war, it is a symbol of movement, destruction, and transformation. Mars initiates, pushes and motivates. It knows where to direct vital energy, even if it will create significant changes. It has direct energy that rouses things that have been stagnant. It's no coincidence that the planet is connected to the Fire element. Mars is the one that speaks, does not remain silent before injustice, stands up and defends. It has the spirit of an activist. We find this quality also in the Tower, in which a strike of lightning creates a change. The tower crumbles, but the important thing is that it knows how to fall. It rides the wave of transformation and does not resist change. It flows. It is the moment to be a warrior, to wear armor, to protect oneself, to use the fire of Mars to survive and acquire a new and freer vision beyond old ways of thinking.","Mars is raw energy, the god of war, tied to Fire and unafraid to stir what's grown stagnant. It speaks up against injustice rather than staying silent. That same activist spirit strikes the Tower: lightning shatters it, but what matters is how it falls. Rather than resisting the change, it rides the wave, using Mars's fire to survive and see beyond the old, outgrown way of thinking.",67,"A collapse delayed rather than faced, or clinging to structures already crumbling.","A planet of raw energy, a mythic figure of war, is unafraid to stir what's grown stagnant. It speaks up against injustice rather than staying silent. That same activist spirit strikes here: lightning shatters the structure, but what matters is how it falls. Rather than resisting the change, it rides the wave, using that fire to survive and see beyond the old, outgrown way of thinking."
major_17_star,AQUARIUS,"A woman pours water on the earth and into a river. On one side, her action feeds the earth; on the other, she pours water into water in an apparently useless gesture that is however connected to the ideal, hope and the union of intentions. Aquarius also has a double meaning. It is tied to Air, being a sign of the element and therefore mental, lucid, full of innovative solutions. And it is tied to Water through the emotional and spiritual world. Aquarius is ""the one who brings water."" It reinvigorates the world through emotions that are not individual but rather shared, with an eye to universal love, the importance of ideals, and community. Governed by Uranus, the only planet in the solar system that spins on an axis of 98 degrees (basically, the movement of Uranus is unique, unlike any other planet), it is a nonconformist sign that moves to its own beat, distancing itself from the majority. In the Star card, the uniqueness of Aquarius becomes hope, the light that can be seen at the end of the tunnel, fortune, and being open and receptive to life and nature.","A woman pours water onto both earth and river, an act that feeds the ground while also serving something purely ideal, hope, and shared intention. Aquarius carries a double nature: airy and lucid, yet emotionally tied to Water. Ruled by Uranus, the only planet spinning on its side, Aquarius marches to its own rhythm, valuing collective good over individual will. In the Star, that uniqueness becomes hope itself, an openness to life and nature.",74,"Hope dimmed, disconnection from community, or faith in the future running dry.","A figure pours water onto both earth and river, an act that feeds the ground while also serving something purely ideal, hope, and shared intention. A fixed air sign carries a double nature: airy and lucid, yet emotionally tied to Water. Ruled by an outer planet that spins on its side, this energy marches to its own rhythm, valuing collective good over individual will. Here, that uniqueness becomes hope itself, an openness to life and nature."
major_18_moon,PISCES,"The Moon invites us to observe our more hidden and intimate side from up close. In the darkness, under its light, our senses become more receptive and every thing we see acquires a new, deeper and magical dimension. Connected to intuition, profound visions, and to emotion, femininity, dreams, and psychic abilities, the Moon card echoes intensely in Pisces. The Moon asks us to investigate our darker side because only through the integration of every part can we access a more complete and spiritually satisfying life. It also asks us to observe the cycles that are completed in our life, to change them, if necessary, to avoid repeating the same errors. Pisces, the last sign of the zodiac, is a guiding sign, like Aries, the first sign, but Pisces is guided to the inner world, to our depths. At the end of the zodiac, the daily and the spiritual are united and complementary, just like the symbol itself of the sign, which depicts two equal and opposing fish. Governed by Neptune, the planet of things that are hidden and mysterious, it invites us into the unknown, the light of the Moon.","The Moon asks us to look closely at our hidden, intimate side, where the senses sharpen and everything takes on a deeper, more magical dimension. It resonates with Pisces, the zodiac's final and most inwardly guided sign, where daily life and spirit meet, echoed in the two fish swimming in opposite directions. Ruled by Neptune, planet of mystery, this card invites us into the unknown to face repeating patterns and grow.",71,"Confusion or self-deception overtaking intuition, fear clouding what needs to be seen clearly.","This card asks us to look closely at our hidden, intimate side, where the senses sharpen and everything takes on a deeper, more magical dimension. It resonates with a mutable water sign, the zodiac's final and most inwardly guided sign, where daily life and spirit meet, echoed in two fish swimming in opposite directions. Ruled by a planet of mystery, this card invites us into the unknown to face repeating patterns and grow."
major_19_sun,SUN,"The Sun, number nineteen, and its planet in this case already correspond in name. In this card, we often find a baby, which symbolizes purity and inner strength, creativity, the optimism with which to approach the world. The Sun shines and brings light: it radiates warmth and life, offering fortune and success. This is the card of true self-expression, of our inner nature. The Sun is the pulsing heart of our system. It emanates light and is a source of life, just like the energy that resides in this card. We must also remember that if you come too close to the Sun, you can get burned. It's important not to fall into egocentrism, as the card suggests; and to not always put yourself at the center of things, but rather to sometimes stand back and watch what happens.","The Sun and its ruling planet share a name, radiating warmth, life, and true self-expression. Often shown with a child, symbolizing purity, creativity, and optimism, this card brings fortune and success drawn from authentic identity rather than performance. As the pulsing heart of the whole system, the Sun offers vital light, but with a caution: get too close and you can be burned, so avoid centering everything on yourself.",69,"Confidence dimmed, or joy performed rather than genuinely felt.","A card and its ruling planet share a name, radiating warmth, life, and true self-expression. Often shown with a child, symbolizing purity, creativity, and optimism, this card brings fortune and success drawn from authentic identity rather than performance. As the pulsing heart of the whole system, it offers vital light, but with a caution: get too close and you can be burned, so avoid centering everything on yourself."
major_20_judgment,PLUTO,"Pluto is the planet of the Underworld, associated with death, resurrection, and, more specifically, transformation. It is connected to card number twenty, Judgment. Although it is the second-to-last card of the Major Arcana, I believe it represents the conclusion of the journey from the Fool to the World. In the Judgment card, we find our true vocation, our mission in the world, and our voice. In order for this to happen, we must overcome deaths, rebirths, and transformative processes, the same ones that go through the depths. More specifically, here, Pluto suggests we abandon old schemes and all that no longer belongs to us so that we can reach healing and rebirth.","Pluto, planet of the underworld, governs death, resurrection, and deep transformation, fitting for Judgment, the second-to-last Major Arcana card yet arguably the true conclusion of the Fool's journey. Here we find our real calling and true voice, but only by first passing through endings, rebirths, and transformations that reach into our depths. Pluto's guidance is to release old patterns and anything that no longer belongs, making room for healing.",69,"Avoiding the call to change, or harsh self-judgment blocking real healing.","An outer planet of the underworld governs death, resurrection, and deep transformation, fitting for this card, second-to-last in its sequence yet arguably the true conclusion of a much longer journey. Here we find our real calling and true voice, but only by first passing through endings, rebirths, and transformations that reach into our depths. Its guidance is to release old patterns and anything that no longer belongs, making room for healing."
major_21_world,SATURN,"The journey that started with the Fool ends here. The World, card number twenty-one, is the last in the Major Arcana, and from it a new cycle starts. The World is a card that completes a journey, and Saturn is the planet that severs, sets boundaries, and separates. Around the central figure of the card, we usually find a wreath, something that represents a whole, the closing of a circle, the achievement of a goal. From the World card we can only start again. It's important not to close ourselves off too much, to not stand still in our comfort zone too long, but to be ready to leave our world to explore another one. Saturn concludes this cycle, severs what's unnecessary, and allows us to embark on this new journey.","The journey that began with the Fool completes here. Saturn, the planet that sets boundaries and cuts away the unnecessary, governs this final card, often shown with a wreath symbolizing wholeness and a closed circle. From the World, all that's left is to begin again, staying open rather than settling into comfort. Saturn closes this cycle cleanly, clearing the way for the next one to start.",66,"A cycle left unfinished, or resistance to closing one chapter before starting the next.","A journey that began much earlier completes here. A planet that sets boundaries and cuts away the unnecessary governs this final card, often shown with a wreath symbolizing wholeness and a closed circle. From here, all that's left is to begin again, staying open rather than settling into comfort. That same planetary energy closes this cycle cleanly, clearing the way for the next one to start."
minor_wands_ace,ARIES · LEO · SAGITTARIUS,"This Ace is the spark of fire, and it contains the renewing and vital energy of the signs that belong to this element. The Ace of Wands is a new, passionate adventure. When you encounter it, you know that you can dare because the world will say ""yes"" to you. It also represents the first action that you take with a new idea or project. It is the first step. This energy needs to be protected and channeled and must not dissipate like the first sparks of a fire. They need to be fueled so that the fire may burn.","This Ace is fire in its rawest form, holding the renewing energy shared by its three signs. It marks a passionate new adventure, the moment the world says yes and dares you to act. It's the very first step toward a new idea, fragile like the first spark, needing protection and fuel so it can grow into something lasting rather than fizzling out.",63,"A spark that fizzles before catching, or hesitation instead of a bold yes.","This card is fire in its rawest form, holding the renewing energy shared by its three related signs. It marks a passionate new adventure, the moment the world says yes and dares you to act. It's the very first step toward a new idea, fragile like the first spark, needing protection and fuel so it can grow into something lasting rather than fizzling out."
minor_wands_02,"MARS IN ARIES, FIRST DECAN","In the Two of Wands, like with every other Two, we see a division of energy, a dialogue and a choice. In this case, both Mars and the Aries signs are active, pure energy. They often represent impulsive, vital, and reactive action toward a situation. This card invites you to choose whether your action will be directed toward your small world or toward the external community. Where will you choose to act? It's time to observe the general situation so you can decide how to act most effectively.","Every Two divides energy into dialogue and choice, and here Mars and Aries bring pure, active intensity to that decision. The pull is impulsive and reactive, urging quick movement. This card asks whether your action should serve your own small world or reach toward the wider community. Before acting, it's worth stepping back to take in the whole situation clearly.",60,"Indecision, or fear of the unknown keeping you from committing to a direction.","Every card of this number divides energy into dialogue and choice, and here two forces bring pure, active intensity to that decision. The pull is impulsive and reactive, urging quick movement. This card asks whether your action should serve your own small world or reach toward the wider community. Before acting, it's worth stepping back to take in the whole situation clearly."
